ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
179,BEETS NH,478,2021-10-06 18:42:48,System - import,2021-10-06 18:42:48,System - import,0
180,BEETSTERZWAAG,86,2021-10-06 18:42:48,System - import,2021-10-06 18:42:48,System - import,0
181,BEILEN,1731,2021-10-06 18:42:49,System - import,2021-10-06 18:42:49,System - import,0
182,BEINSDORP,394,2021-10-06 18:42:53,System - import,2021-10-06 18:42:53,System - import,0
183,BELFELD,983,2021-10-06 18:42:53,System - import,2021-10-06 18:42:53,System - import,0
184,BELLINGWOLDE,7,2021-10-06 18:42:56,System - import,2021-10-06 18:42:56,System - import,0
185,BELT SCHUTSLOOT,1708,2021-10-06 18:42:58,System - import,2021-10-06 18:42:58,System - import,0
186,BELTRUM,229,2021-10-06 18:42:58,System - import,2021-10-06 18:42:58,System - import,0
187,BEMELEN,936,2021-10-06 18:43:00,System - import,2021-10-06 18:43:00,System - import,0
188,BEMMEL,1705,2021-10-06 18:43:00,System - import,2021-10-06 18:43:00,System - import,0
189,BENEDEN LEEUWEN,668,2021-10-06 18:43:04,System - import,2021-10-06 18:43:04,System - import,0
190,BENNEBROEK,372,2021-10-06 18:43:06,System - import,2021-10-06 18:43:06,System - import,0
191,BENNEKOM,228,2021-10-06 18:43:08,System - import,2021-10-06 18:43:08,System - import,0
192,BENNEVELD,109,2021-10-06 18:43:12,System - import,2021-10-06 18:43:12,System - import,0
193,BENNINGBROEK,529,2021-10-06 18:43:12,System - import,2021-10-06 18:43:12,System - import,0
194,BENSCHOP,331,2021-10-06 18:43:13,System - import,2021-10-06 18:43:13,System - import,0
195,BENTELO,1735,2021-10-06 18:43:14,System - import,2021-10-06 18:43:14,System - import,0
196,BENTHUIZEN,1672,2021-10-06 18:43:14,System - import,2021-10-06 18:43:14,System - import,0
197,BENTVELD,473,2021-10-06 18:43:16,System - import,2021-10-06 18:43:16,System - import,0
198,BERG EN DAL,241,2021-10-06 18:43:16,System - import,2021-10-06 18:43:16,System - import,0
199,BERG EN TERBLIJT,994,2021-10-06 18:43:17,System - import,2021-10-06 18:43:17,System - import,0
200,BERGAMBACHT,491,2021-10-06 18:43:18,System - import,2021-10-06 18:43:18,System - import,0
201,BERGEN AAN ZEE,373,2021-10-06 18:43:20,System - import,2021-10-06 18:43:20,System - import,0
202,BERGEN LB,893,2021-10-06 18:43:20,System - import,2021-10-06 18:43:20,System - import,0
203,BERGEN NH,373,2021-10-06 18:43:22,System - import,2021-10-06 18:43:22,System - import,0
204,BERGEN OP ZOOM,748,2021-10-06 18:43:26,System - import,2021-10-06 18:43:26,System - import,0
205,BERGENTHEIM,160,2021-10-06 18:43:44,System - import,2021-10-06 18:43:44,System - import,0
206,BERGEYK,1724,2021-10-06 18:43:45,System - import,2021-10-06 18:43:45,System - import,0
207,BERGHAREN,296,2021-10-06 18:43:49,System - import,2021-10-06 18:43:49,System - import,0
208,BERGHEM,828,2021-10-06 18:43:49,System - import,2021-10-06 18:43:49,System - import,0
209,BERGSCHENHOEK,492,2021-10-06 18:43:51,System - import,2021-10-06 18:43:51,System - import,0
210,BERINGE,918,2021-10-06 18:43:55,System - import,2021-10-06 18:43:55,System - import,0
211,BERKEL EN RODENRIJS,493,2021-10-06 18:43:56,System - import,2021-10-06 18:43:56,System - import,0
212,BERKEL-ENSCHOT,855,2021-10-06 18:44:00,System - import,2021-10-06 18:44:00,System - import,0
213,BERKENWOUDE,491,2021-10-06 18:44:03,System - import,2021-10-06 18:44:03,System - import,0
214,BERKHOUT,558,2021-10-06 18:44:04,System - import,2021-10-06 18:44:04,System - import,0
215,BERLICUM NB,845,2021-10-06 18:44:05,System - import,2021-10-06 18:44:05,System - import,0
216,BERLIKUM FR,83,2021-10-06 18:44:08,System - import,2021-10-06 18:44:08,System - import,0
217,BERN,297,2021-10-06 18:44:09,System - import,2021-10-06 18:44:09,System - import,0
218,BEST,753,2021-10-06 18:44:09,System - import,2021-10-06 18:44:09,System - import,0
219,BEUGEN,756,2021-10-06 18:44:18,System - import,2021-10-06 18:44:18,System - import,0
220,BEUNINGEN GLD,209,2021-10-06 18:44:19,System - import,2021-10-06 18:44:19,System - import,0
221,BEUNINGEN OV,168,2021-10-06 18:44:23,System - import,2021-10-06 18:44:23,System - import,0
222,BEUSICHEM,214,2021-10-06 18:44:24,System - import,2021-10-06 18:44:24,System - import,0
223,BEUTENAKEN,1729,2021-10-06 18:44:25,System - import,2021-10-06 18:44:25,System - import,0
224,BEVERWIJK,375,2021-10-06 18:44:25,System - import,2021-10-06 18:44:25,System - import,0
225,BIDDINGHUIZEN,303,2021-10-06 18:44:35,System - import,2021-10-06 18:44:35,System - import,0
226,BIERUM,10,2021-10-06 18:44:37,System - import,2021-10-06 18:44:37,System - import,0
227,BIERVLIET,715,2021-10-06 18:44:38,System - import,2021-10-06 18:44:38,System - import,0
228,BIEST HOUTAKKER,798,2021-10-06 18:44:39,System - import,2021-10-06 18:44:39,System - import,0
229,BIEZENMORTEL,788,2021-10-06 18:44:39,System - import,2021-10-06 18:44:39,System - import,0
230,BIGGEKERKE,717,2021-10-06 18:44:39,System - import,2021-10-06 18:44:39,System - import,0
231,BILTHOVEN,310,2021-10-06 18:44:40,System - import,2021-10-06 18:44:40,System - import,0
232,BINGELRADE,881,2021-10-06 18:44:47,System - import,2021-10-06 18:44:47,System - import,0
233,BLADEL,1728,2021-10-06 18:44:47,System - import,2021-10-06 18:44:47,System - import,0
234,BLANKENHAM,1708,2021-10-06 18:44:50,System - import,2021-10-06 18:44:50,System - import,0
235,BLARICUM,376,2021-10-06 18:44:51,System - import,2021-10-06 18:44:51,System - import,0
236,BLAUWHUIS,683,2021-10-06 18:44:54,System - import,2021-10-06 18:44:54,System - import,0
237,BLEISWIJK,495,2021-10-06 18:44:55,System - import,2021-10-06 18:44:55,System - import,0
238,BLESDIJKE,98,2021-10-06 18:44:58,System - import,2021-10-06 18:44:58,System - import,0
239,BLESKENSGRAAF CA,693,2021-10-06 18:44:58,System - import,2021-10-06 18:44:58,System - import,0
240,BLESSUM,83,2021-10-06 18:44:59,System - import,2021-10-06 18:44:59,System - import,0
241,BLIJE,1722,2021-10-06 18:44:59,System - import,2021-10-06 18:44:59,System - import,0
242,BLIJHAM,7,2021-10-06 18:44:59,System - import,2021-10-06 18:44:59,System - import,0
243,BLITTERSWIJCK,993,2021-10-06 18:45:00,System - import,2021-10-06 18:45:00,System - import,0
244,BLOEMENDAAL,377,2021-10-06 18:45:01,System - import,2021-10-06 18:45:01,System - import,0
245,BLOKKER,405,2021-10-06 18:45:03,System - import,2021-10-06 18:45:03,System - import,0
246,BLOKZIJL,1708,2021-10-06 18:45:04,System - import,2021-10-06 18:45:04,System - import,0
247,BOAZUM,140,2021-10-06 18:45:05,System - import,2021-10-06 18:45:05,System - import,0
248,BOCHOLTZ,965,2021-10-06 18:45:06,System - import,2021-10-06 18:45:06,System - import,0
249,BODEGRAVEN,497,2021-10-06 18:45:07,System - import,2021-10-06 18:45:07,System - import,0
250,BOEKEL,755,2021-10-06 18:45:12,System - import,2021-10-06 18:45:12,System - import,0
251,BOELENSLAAN,59,2021-10-06 18:45:15,System - import,2021-10-06 18:45:15,System - import,0
252,BOER,70,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
253,BOERAKKER,25,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
254,BOERAKKER GEM LEEK,22,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
255,BOESINGHELIEDE,394,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
256,BOIJL,98,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
257,BOKSUM,83,2021-10-06 18:45:16,System - import,2021-10-06 18:45:16,System - import,0
258,BOLSWARD,64,2021-10-06 18:45:17,System - import,2021-10-06 18:45:17,System - import,0
259,BONTEBOK,74,2021-10-06 18:45:21,System - import,2021-10-06 18:45:21,System - import,0
260,BOORNBERGUM,90,2021-10-06 18:45:21,System - import,2021-10-06 18:45:21,System - import,0
261,BOORNZWAAG,51,2021-10-06 18:45:21,System - import,2021-10-06 18:45:21,System - import,0
262,BORCULO,211,2021-10-06 18:45:21,System - import,2021-10-06 18:45:21,System - import,0
263,BORGER,1681,2021-10-06 18:45:24,System - import,2021-10-06 18:45:24,System - import,0
264,BORGERCOMPAGNIE,47,2021-10-06 18:45:26,System - import,2021-10-06 18:45:26,System - import,0
265,BORGSWEER,10,2021-10-06 18:45:26,System - import,2021-10-06 18:45:26,System - import,0
266,BORN,1883,2021-10-06 18:45:26,System - import,2021-10-06 18:45:26,System - import,0
267,BORNE,147,2021-10-06 18:45:28,System - import,2021-10-06 18:45:28,System - import,0
268,BORNERBROEK,141,2021-10-06 18:45:34,System - import,2021-10-06 18:45:34,System - import,0
269,BORNWIRD,58,2021-10-06 18:45:35,System - import,2021-10-06 18:45:35,System - import,0
270,BORSSELE,654,2021-10-06 18:45:35,System - import,2021-10-06 18:45:35,System - import,0
271,BOSCH EN DUIN,355,2021-10-06 18:45:36,System - import,2021-10-06 18:45:36,System - import,0
272,BOSCHOORD,1701,2021-10-06 18:45:36,System - import,2021-10-06 18:45:36,System - import,0
273,BOSKOOP,499,2021-10-06 18:45:36,System - import,2021-10-06 18:45:36,System - import,0
274,BOSSCHENHOOFD,1655,2021-10-06 18:45:41,System - import,2021-10-06 18:45:41,System - import,0
275,BOTLEK ROTTERDAM,599,2021-10-06 18:45:41,System - import,2021-10-06 18:45:41,System - import,0
276,BOURTANGE,48,2021-10-06 18:45:42,System - import,2021-10-06 18:45:42,System - import,0
277,BOVEN LEEUWEN,668,2021-10-06 18:45:43,System - import,2021-10-06 18:45:43,System - import,0
278,BOVENKARSPEL,532,2021-10-06 18:45:44,System - import,2021-10-06 18:45:44,System - import,0
279,BOVENSMILDE,1731,2021-10-06 18:45:47,System - import,2021-10-06 18:45:47,System - import,0
280,BOXMEER,756,2021-10-06 18:45:48,System - import,2021-10-06 18:45:48,System - import,0
